# Name : Surface component 1
# Stage: 45.000 s
# Units: length:mm angle:deg strain:% 
id,x,y,z,major_strain
139,12.5877,-37.1332,0.0000,0.9714
142,12.6284,-38.7806,0.0000,0.8110
143,12.6427,-39.3322,0.0000,1.0725
144,12.6592,-39.8805,0.0000,0.7483
145,12.6736,-40.4234,0.0000,1.5074
146,12.6886,-40.9821,0.0000,2.0611
147,12.3975,-41.3650,0.0000,1.8466
148,11.8515,-41.3607,0.0000,0.9796
149,11.3059,-41.3630,0.0000,1.2521
150,10.7630,-41.3638,0.0000,0.8457
151,10.2221,-41.3661,0.0000,0.5912
152,9.6811,-41.3687,0.0000,0.8061
153,9.1382,-41.3708,0.0000,1.2315
154,8.5953,-41.3735,0.0000,1.5330
155,8.0521,-41.3738,0.0000,1.2164
156,7.5070,-41.3744,0.0000,1.1343
157,6.9658,-41.3774,0.0000,1.1251
158,6.4266,-41.3806,0.0000,1.2219
159,5.8851,-41.3803,0.0000,0.8925
160,5.3407,-41.3823,0.0000,0.8072
161,4.7969,-41.3856,0.0000,0.8770
162,4.2546,-41.3870,0.0000,0.8357
163,3.7166,-41.3896,0.0000,1.0885
164,3.1754,-41.3932,0.0000,1.2369
165,2.6325,-41.3975,0.0000,1.4643
166,2.0926,-41.4014,0.0000,1.3587
167,1.5511,-41.4040,0.0000,0.7433
168,1.0106,-41.4070,0.0000,0.3266
169,0.4708,-41.4179,0.0000,1.3149
170,-0.0678,-41.4255,0.0000,1.0910
171,-0.6060,-41.4333,0.0000,0.7757
172,-1.1473,-41.4387,0.0000,0.4186
173,-1.6879,-41.4430,0.0000,0.3334
174,-2.2310,-41.4477,0.0000,0.4060
175,-2.7739,-41.4498,0.0000,0.1416
176,-3.3163,-41.4500,0.0000,-0.0348
177,-3.8589,-41.4492,0.0000,-0.1757
178,-4.4013,-41.4497,0.0000,0.9211
179,-4.9522,-41.4260,0.0000,4.8240
180,-5.5155,-41.3799,0.0000,5.3698
181,-6.0811,-41.3460,0.0000,2.9806
182,-6.6270,-41.3426,0.0000,0.9003
183,-7.1679,-41.3374,0.0000,0.3803
184,-7.7124,-41.3378,0.0000,0.9682
185,-8.2562,-41.3355,0.0000,0.7943
186,-8.7982,-41.3331,0.0000,0.7683
187,-9.3410,-41.3320,0.0000,0.9539
188,-9.8848,-41.3312,0.0000,1.0030
189,-10.4286,-41.3291,0.0000,0.7974
190,-10.9713,-41.3290,0.0000,1.1422
191,-11.5135,-41.3250,0.0000,0.7861
192,-12.0570,-41.3231,0.0000,0.5933
193,-12.6005,-41.3231,0.0000,0.8355
194,-13.1444,-41.3219,0.0000,0.7806
195,-13.6876,-41.3196,0.0000,1.0127
196,-14.2303,-41.3157,0.0000,1.1496
197,-14.7734,-41.3133,0.0000,1.2408
198,-15.3195,-41.3127,0.0000,1.3714
199,-15.8625,-41.3096,0.0000,1.2105
200,-16.4066,-41.3087,0.0000,1.3332
201,-16.9494,-41.3073,0.0000,1.1394
202,-17.4911,-41.3054,0.0000,1.0793
203,-18.0344,-41.3026,0.0000,0.8229
204,-18.5782,-41.3018,0.0000,1.0391
205,-19.0924,-41.2450,0.0000,1.1338
206,-19.1329,-40.7021,0.0000,0.9181
207,-19.1466,-40.1535,0.0000,0.8933
208,-19.1622,-39.6044,0.0000,0.9585
209,-19.1771,-39.0547,0.0000,1.1734
210,-19.1915,-38.5050,0.0000,0.8004
211,-19.2065,-37.9578,0.0000,0.7846
212,-19.2207,-37.4074,0.0000,1.3737
213,-19.2336,-36.8540,0.0000,1.4955
214,-19.2483,-36.3022,0.0000,1.1148
215,-19.2630,-35.7527,0.0000,0.7109
216,-19.2783,-35.2071,0.0000,0.7599
217,-19.2908,-34.6565,0.0000,1.3363
218,-19.3043,-34.1056,0.0000,1.0732
219,-19.3186,-33.5564,0.0000,0.9256
220,-19.3321,-33.0080,0.0000,1.1379
221,-19.3443,-32.4576,0.0000,1.2327
222,-19.3588,-31.9070,0.0000,1.1183
223,-19.3748,-31.3549,0.0000,1.2028
224,-19.3888,-30.8055,0.0000,0.9894
225,-19.4021,-30.2556,0.0000,1.2560
226,-19.4152,-29.7035,0.0000,1.3356
227,-19.4283,-29.1530,0.0000,1.3352
228,-19.4421,-28.6007,0.0000,1.1533
229,-19.4575,-28.0517,0.0000,0.7417
230,-19.4703,-27.5045,0.0000,0.5338
231,-19.4826,-26.9556,0.0000,0.8063
232,-19.4942,-26.4082,0.0000,1.2175
233,-19.5058,-25.8556,0.0000,1.5375
234,-19.5179,-25.3028,0.0000,1.6516
235,-19.5298,-24.7488,0.0000,1.3714
236,-19.5424,-24.1987,0.0000,0.8902
237,-19.5573,-23.6517,0.0000,0.9575
238,-19.5703,-23.1021,0.0000,0.7817
239,-19.5840,-22.5545,0.0000,0.8135
240,-19.5983,-22.0064,0.0000,1.0486
241,-19.6139,-21.4549,0.0000,1.3790
242,-19.6292,-20.9025,0.0000,1.2075
243,-19.6429,-20.3528,0.0000,0.8516
244,-19.6577,-19.8035,0.0000,1.1529
245,-19.6722,-19.2525,0.0000,1.1180
246,-19.6854,-18.7028,0.0000,1.1238
247,-19.6988,-18.1517,0.0000,1.0579
248,-19.7118,-17.6023,0.0000,0.9151
249,-19.7232,-17.0536,0.0000,0.9194
250,-19.7383,-16.5049,0.0000,0.9490
251,-19.7517,-15.9562,0.0000,0.7702
252,-19.7641,-15.4073,0.0000,0.9502
253,-19.7746,-14.8569,0.0000,1.2050
254,-19.7857,-14.3077,0.0000,1.0049
255,-19.7971,-13.7599,0.0000,1.0996
256,-19.8095,-13.2097,0.0000,1.2924
257,-19.8222,-12.6581,0.0000,1.1087
258,-19.8354,-12.1093,0.0000,0.6696
259,-19.8488,-11.5625,0.0000,1.0497
260,-19.8642,-11.0103,0.0000,1.2646
261,-19.8789,-10.4595,0.0000,1.4304
262,-19.8937,-9.9072,0.0000,0.8657
263,-19.9079,-9.3615,0.0000,0.6271
264,-19.9213,-8.8128,0.0000,0.8820
265,-19.9340,-8.2642,0.0000,1.1406
266,-19.9474,-7.7155,0.0000,0.7621
267,-19.9652,-7.1697,0.0000,0.8254
268,-19.9835,-6.6248,0.0000,1.7856
269,-19.9958,-6.0723,0.0000,2.3568
270,-20.0087,-5.5136,0.0000,2.4921
271,-20.0205,-4.9545,0.0000,1.6955
272,-20.0346,-4.4065,0.0000,0.6140
273,-20.0489,-3.8604,0.0000,0.5737
274,-20.0639,-3.3138,0.0000,0.7111
275,-20.0779,-2.7650,0.0000,1.1152
276,-20.0921,-2.2115,0.0000,1.6225
277,-20.1069,-1.6581,0.0000,1.5261
278,-20.1213,-1.1081,0.0000,1.0528
279,-20.1363,-0.5607,0.0000,0.5095
280,-20.1502,-0.0143,0.0000,0.5390
281,-20.1639,0.5324,0.0000,0.6910
282,-20.1781,1.0811,0.0000,0.5810
283,-20.1945,1.6277,0.0000,0.6357
284,-20.2100,2.1754,0.0000,0.6357
285,-20.2253,2.7226,0.0000,1.0828
286,-20.2397,3.2708,0.0000,1.5744
287,-20.2559,3.8254,0.0000,1.4006
288,-20.2734,4.3778,0.0000,1.1601
289,-20.2902,4.9256,0.0000,0.6282
290,-20.3063,5.4707,0.0000,0.7469
291,-20.3226,6.0172,0.0000,0.9363
292,-20.3405,6.5642,0.0000,1.3940
293,-20.3593,7.1170,0.0000,1.0249
294,-20.3763,7.6608,0.0000,1.8231
295,-20.3937,8.2084,0.0000,2.1761
296,-20.4089,8.7567,0.0000,2.4692
297,-20.4250,9.3100,0.0000,2.5993
298,-20.4411,9.8664,0.0000,1.6065
299,-20.4538,10.4206,0.0000,1.1101
300,-20.4700,10.9672,0.0000,1.0464
301,-20.4876,11.5181,0.0000,1.4696
302,-20.5069,12.0720,0.0000,1.1914
303,-20.5228,12.6189,0.0000,0.6687
304,-20.5406,13.1677,0.0000,1.1397
305,-20.5595,13.7191,0.0000,1.0071
306,-20.5773,14.2689,0.0000,1.3402
307,-20.5963,14.8186,0.0000,0.9673
308,-20.6128,15.3669,0.0000,0.6751
309,-20.6301,15.9134,0.0000,0.4795
310,-20.6490,16.4606,0.0000,1.1270
311,-20.6668,17.0132,0.0000,1.2238
312,-20.6846,17.5652,0.0000,1.2618
313,-20.7019,18.1149,0.0000,1.0499
314,-20.7191,18.6639,0.0000,0.7193
315,-20.7364,19.2111,0.0000,0.7380
316,-20.7515,19.7601,0.0000,0.7403
317,-20.7667,20.3079,0.0000,0.4318
318,-20.7821,20.8516,0.0000,0.6232
319,-20.7994,21.3977,0.0000,0.9407
320,-20.8164,21.9463,0.0000,1.5277
321,-20.8333,22.4991,0.0000,1.6735
322,-20.8508,23.0531,0.0000,2.0407
323,-20.8735,23.6123,0.0000,2.2191
324,-20.8990,24.1669,0.0000,2.6561
325,-20.9201,24.7169,0.0000,1.6659
